ORDERNUMBER,QUANTITYORDERED,PRICEEACH,SALES,ORDERDATE,STATUS,PRODUCTLINE,CUSTOMERNAME,COUNTRY,DEALSIZE
1,30,95.7,2871,2/24/2003 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Small
2,34,81.35,2765.9,5/7/2003 0:00,Shipped,Motorcycles,Reims Collectables,France,Small
3,41,94.74,3884.34,7/1/2003 0:00,Shipped,Motorcycles,Lyon Souveniers,France,Medium
4,45,83.26,3746.7,8/25/2003 0:00,Shipped,Motorcycles,Toys4GrownUps.com,USA,Medium
5,49,100,5205.27,10/10/2003 0:00,Shipped,Motorcycles,Corporate Gift Ideas Co.,USA,Medium
6,36,96.66,3479.76,10/28/2003 0:00,Shipped,Motorcycles,Technics Stores Inc.,USA,Medium
7,29,86.13,2497.77,11/11/2003 0:00,Shipped,Motorcycles,Daedalus Designs Imports,France,Small
8,48,100,5512.32,11/18/2003 0:00,Shipped,Motorcycles,Herkku Gifts,Norway,Medium
9,22,98.57,2168.54,12/1/2003 0:00,Shipped,Motorcycles,Mini Wheels Co.,USA,Small
10,41,100,4708.44,1/15/2004 0:00,Shipped,Motorcycles,Auto Canal Petit,France,Medium
11,37,100,3965.66,2/20/2004 0:00,Shipped,Motorcycles,"Australian Collectors, Co.",Australia,Medium
12,23,100,2333.12,4/5/2004 0:00,Shipped,Motorcycles,Vitachrome Inc.,USA,Small
13,28,100,3188.64,5/18/2004 0:00,Shipped,Motorcycles,Tekni Collectables Inc.,USA,Medium
14,34,100,3676.76,6/28/2004 0:00,Shipped,Motorcycles,Gift Depot Inc.,USA,Medium
15,45,92.83,4177.35,7/23/2004 0:00,Shipped,Motorcycles,La Rochelle Gifts,France,Medium
16,36,100,4099.68,8/27/2004 0:00,Shipped,Motorcycles,Marta's Replicas Co.,USA,Medium
17,23,100,2597.39,9/30/2004 0:00,Shipped,Motorcycles,"Toys of Finland, Co.",Finland,Small
18,41,100,4394.38,10/15/2004 0:00,Shipped,Motorcycles,Baane Mini Imports,Norway,Medium
19,46,94.74,4358.04,11/2/2004 0:00,Shipped,Motorcycles,Diecast Classics Inc.,USA,Medium
20,42,100,4396.14,11/15/2004 0:00,Shipped,Motorcycles,Land of Toys Inc.,USA,Medium
21,41,100,7737.93,11/24/2004 0:00,Shipped,Motorcycles,Salzburg Collectables,Austria,Large
22,20,72.55,1451,12/17/2004 0:00,Shipped,Motorcycles,Souveniers And Things Co.,Australia,Small
23,21,34.91,733.11,2/3/2005 0:00,Shipped,Motorcycles,La Rochelle Gifts,France,Small
24,42,76.36,3207.12,3/3/2005 0:00,Shipped,Motorcycles,FunGiftIdeas.com,USA,Medium
25,24,100,2434.56,4/8/2005 0:00,Shipped,Motorcycles,"UK Collectables, Ltd.",UK,Small
26,66,100,7516.08,5/13/2005 0:00,Disputed,Motorcycles,Euro Shopping Channel,Spain,Large
27,26,100,5404.62,1/29/2003 0:00,Shipped,Classic Cars,Baane Mini Imports,Norway,Medium
28,29,100,7209.11,3/24/2003 0:00,Shipped,Classic Cars,"Volvo Model Replicas, Co",Sweden,Large
29,38,100,7329.06,5/28/2003 0:00,Shipped,Classic Cars,"Corrida Auto Replicas, Ltd",Spain,Large
30,37,100,7374.1,7/24/2003 0:00,Shipped,Classic Cars,Technics Stores Inc.,USA,Large
31,45,100,10993.5,9/19/2003 0:00,Shipped,Classic Cars,"Dragon Souveniers, Ltd.",Singapore,Large
32,21,100,4860.24,10/20/2003 0:00,Shipped,Classic Cars,Classic Legends Inc.,USA,Medium
33,34,100,8014.82,11/6/2003 0:00,Shipped,Classic Cars,"Australian Gift Network, Co",Australia,Large
34,23,100,5372.57,11/13/2003 0:00,Shipped,Classic Cars,"Classic Gift Ideas, Inc",USA,Medium
35,42,100,7290.36,11/25/2003 0:00,Shipped,Classic Cars,"Saveley & Henriot, Co.",France,Large
36,47,100,9064.89,12/5/2003 0:00,Shipped,Classic Cars,Canadian Gift Exchange Network,Canada,Large
37,35,100,6075.3,1/29/2004 0:00,Shipped,Classic Cars,West Coast Collectables Co.,USA,Medium
38,29,100,6463.23,3/10/2004 0:00,Shipped,Classic Cars,Cambridge Collectables Co.,USA,Medium
39,34,100,6120.34,5/4/2004 0:00,Shipped,Classic Cars,Super Scale Inc.,USA,Medium
40,32,100,7680.64,6/15/2004 0:00,Shipped,Classic Cars,"Tokyo Collectables, Ltd",Japan,Large
